id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
230852,2012-2018,8,7,1,104,42,17.33,177,58.75,0,0,0,6,0
553249,2020-2022,3,2,1,1,1,1,6,16.66,0,0,0,0,0
269280,2018-2023,27,27,2,694,102,27.76,894,77.62,1,5,1,70,6
696401,2022-2023,5,4,1,60,32*,20,64,93.75,0,0,0,4,2
436757,2018-2023,33,31,5,933,123*,35.88,950,98.21,1,5,1,82,20
379776,2021-2023,5,3,1,7,5*,3.5,12,58.33,0,0,1,1,0
267724,2017-2023,27,13,2,159,28,14.45,167,95.2,0,0,0,21,1
605680,2020-2022,23,22,2,958,177*,47.9,1150,83.3,3,4,2,97,16
600498,2017-2023,47,44,3,1189,96,29,1343,88.53,0,5,4,121,24
321777,2010-2023,152,130,40,3780,139,42,3699,102.18,5,20,8,283,104
542023,2018-2023,42,15,10,67,19*,13.4,106,63.2,0,0,2,5,4
481979,2019-2023,19,5,1,25,10,6.25,40,62.5,0,0,1,1,0
486679,2019-2019,2,,,,,,,,,,,,
265564,2009-2023,72,42,14,570,56,20.35,719,79.27,0,1,3,42,9
698189,2017-2021,12,10,4,81,19*,13.5,100,81,0,0,0,11,0
540316,2016-2022,74,47,16,742,69*,23.93,859,86.37,0,2,4,67,27
327830,2016-2022,27,13,1,192,50,16,224,85.71,0,1,1,14,5
550215,2015-2023,88,36,16,317,31*,15.85,383,82.76,0,0,2,26,7
422108,2016-2023,51,49,7,1870,112,44.52,2141,87.34,5,12,2,142,44
554691,2014-2023,49,29,9,381,64*,19.05,362,105.24,0,2,3,17,19
32540,2013-2014,5,5,0,51,27,10.2,130,39.23,0,0,2,4,0
1175441,2022-2022,1,1,1,4,4*,,2,200,0,0,0,1,0
425943,2021-2022,11,10,5,330,86*,66,315,104.76,0,2,0,25,15
1070173,2019-2023,21,21,4,1254,208,73.76,1142,109.8,4,5,0,142,27
34102,2007-2023,241,234,34,9782,264,48.91,10882,89.89,30,48,14,896,273
475281,2017-2023,34,21,6,298,50*,19.86,271,109.96,0,1,1,29,9
1246528,,8,3,3,2,2*,,9,22.22,0,0,0,0,0
390484,2013-2013,7,,,,,,,,,,,,
719715,2017-2023,16,9,1,233,51,29.12,272,85.66,0,1,0,17,6
447587,2016-2022,2,2,1,3,2,3,7,42.85,0,0,0,0,0
446507,2021-2023,20,18,3,433,64,28.86,421,102.85,0,2,0,45,8
376116,2010-2018,75,24,14,79,18*,7.9,134,58.95,0,0,4,8,1
922941,2022-2022,1,1,0,2,2,2,5,40,0,0,0,0,0
623977,,6,6,3,184,50*,61.33,168,109.52,0,1,0,15,4
