id,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk
450101,2019-2021,23-Feb,23-Feb,,26.6,5.58,28.6,133,0,0,4,0,5,23.5,,0,5
230553,2008-2022,27-Jun,27-Jun,,31.08,5.09,36.6,3885,3,3,93,53,95,763.1,,0,125
1199304,2022-2022,Jan-39,Jan-39,,80.25,5.81,82.7,321,0,0,7,3,7,55.1,,0,4
248920,2009-2013,11-Feb,11-Feb,,5.5,9.42,3.5,11,0,0,1,0,21,1.1,,0,2
1206110,2022-2022,Apr-41,Apr-41,,24.6,4.34,34,123,0,1,3,1,3,28.2,,0,5
820691,2022-2022,26-Feb,26-Feb,,20.33,5.04,24.1,122,0,0,5,0,5,24.1,,0,6
443263,2019-2022,May-39,May-39,,31.82,5.41,35.2,891,1,1,22,1,22,164.4,,0,28
677077,2019-2022,Mar-50,Mar-50,,54.63,5.35,61.1,601,0,0,17,4,18,112.1,,0,11
774223,2018-2022,26-Apr,26-Apr,,29.37,5.87,30,793,0,1,15,11,15,135,,0,27
272262,2013-2020,May-68,May-68,,31.79,5.67,33.6,1240,1,0,25,11,25,218.4,,0,39
267192,2010-2022,16-Mar,16-Mar,,34.67,5.41,38.4,971,0,0,40,1,139,179.2,,0,28
311592,2010-2022,28-Jun,28-Jun,,22.13,5.08,26.1,4670,8,12,107,47,107,918.1,,0,211
325012,2015-2022,16-Mar,16-Mar,,44.51,5.96,44.7,1647,0,0,51,2,57,276,,0,37
590326,2022-2022,Feb-53,Feb-53,,53.66,6.11,52.6,161,0,0,3,0,3,26.2,,0,3
230193,2012-2021,,,,,,,,,,,,97,,,,
219889,2009-2022,,,,,8,,8,0,0,1,0,141,1,,0,0
379504,2016-2022,May-35,May-35,,28.66,5.44,31.6,3641,1,6,76,10,76,669,,0,127
826689,,13-Jan,13-Jan,,13,4.33,18,13,0,0,1,0,1,3,,0,1
342619,2021-2021,,,,,,,,,,,,5,,,,
499594,2018-2023,31-Mar,31-Mar,,34.52,6.4,32.3,794,0,0,16,3,16,124,,0,23
437316,2016-2023,May-43,May-43,,38.2,6.03,38,573,1,0,27,0,48,95,,0,15
1138316,2021-2022,Apr-37,Apr-37,,37.76,4.5,50.3,491,0,1,12,4,12,109,,0,13
301236,2010-2019,Feb-36,Feb-36,,31.33,5.42,34.6,94,0,0,4,0,127,17.2,,0,3
1152427,,Mar-42,Mar-42,,33.66,5.94,34,303,0,0,8,0,9,51,,0,9
370040,2015-2023,10-Apr,10-Apr,,32.08,5.6,34.3,802,0,1,19,5,20,143,,0,25
652687,2021-2022,14-Jan,14-Jan,,37,4.72,47,37,0,0,3,0,5,7.5,,0,1
227760,2007-2021,,,,,7.5,,15,0,0,1,0,117,2,,0,0
922943,2017-2022,28-Apr,28-Apr,,31.64,5.09,37.2,2215,0,4,51,10,53,435,,0,70
1072470,2018-2022,Jun-35,Jun-35,,23.87,5.51,25.9,1480,2,5,31,15,32,268.3,,0,62
1203995,2022-2022,Jan-36,Jan-36,,73,4.56,96,73,0,0,2,0,2,16,,0,1
233901,2019-2023,,,,,,,,,,,,6,,,,
348152,2021-2021,Jan-48,Jan-48,,48,5.33,54,48,0,0,1,0,1,9,,0,1
433614,2022-2022,Feb-59,Feb-59,,55,6.11,54,220,0,0,4,0,4,36,,0,4
43685,2011-2019,26-Jun,26-Jun,,47.91,5.33,53.8,1150,1,1,24,4,25,215.3,,0,24
379145,2016-2023,May-49,May-49,,35.98,5.53,39,1835,1,1,38,7,41,331.3,,0,51
318845,2014-2016,17-Jan,17-Jan,,44,5.86,45,44,0,0,3,0,36,7.3,,0,1
698143,2020-2021,Jan-40,Jan-40,,86,5.67,91,172,0,0,4,1,5,30.2,,0,2
337790,2019-2023,3-Jan,3-Jan,,3,3,6,3,0,0,1,0,41,1,,0,1
595004,2020-2022,,,,,,,,,,,,12,,,,
379887,,Jan-62,Jan-62,,62,7.75,48,62,0,0,1,0,1,8,,0,1
318842,2018-2021,,,,,,,,,,,,6,,,,
550187,2021-2021,,,,,,,,,,,,1,,,,
