id,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk
1205559,,,,,,,,,,,,,4,,,,
1158100,2019-2023,26-May,26-May,,41.41,6.44,38.5,497,1,0,9,5,9,77.1,,0,12
348148,2016-2023,19-Apr,19-Apr,,27.67,4.84,34.2,1024,0,3,25,4,25,211.3,,0,37
323389,2015-2023,,,,,,,,,,,,52,,,,
1185538,2022-2023,Apr-36,Apr-36,,25.94,5.38,28.8,467,0,1,11,2,11,86.4,,0,18
398438,2020-2020,,,,,10,,10,0,0,1,0,5,1,,0,0
1158088,2022-2023,May-33,May-33,,12.55,5.04,14.9,226,2,0,5,0,5,44.5,,0,18
1125976,,,,,,6.75,,89,0,0,2,1,3,13.1,,0,0
694211,2022-2022,Mar-66,Mar-66,,71.33,6.02,71,214,0,0,5,2,5,35.3,,0,3
26421,2010-2022,25-Apr,25-Apr,,33.49,4.94,40.6,5058,0,1,111,36,113,1023.3,,0,151
430246,2016-2023,Jun-42,Jun-42,,27.13,5.26,30.9,3283,2,5,69,14,72,623.1,,0,121
625383,2016-2022,19-Jun,19-Jun,,24.3,4.63,31.4,2941,2,5,72,43,72,634.3,,0,121
447261,2018-2022,27-Mar,27-Mar,,30.56,5.75,31.8,489,0,0,12,5,13,85,,0,16
1060380,2022-2022,,,,,,,,,,,,1,,,,
28235,2010-2022,,,,,,,,,,,,167,,,,
497121,2022-2022,6-Jan,6-Jan,,39.66,4.76,50,119,0,0,6,1,10,25,,0,3
720471,2021-2023,,,,,,,,,,,,13,,,,
642519,2017-2023,,,,,6.32,,39,0,0,5,0,42,6.1,,0,0
851403,,,,,,5.6,,28,0,0,1,0,2,5,,0,0
234675,2009-2022,May-36,May-36,,37.36,4.92,45.5,7062,1,7,166,50,171,1435.1,,0,189
30045,2004-2019,,,,,,,,,,,,94,,,,
253802,2008-2023,15-Jan,15-Jan,,166.25,6.22,160.2,665,0,0,48,1,271,106.5,,0,4
326016,2012-2022,May-42,May-42,,35.11,5.08,41.4,4951,1,4,120,68,121,974.3,,0,141
940973,2019-2023,Apr-32,Apr-32,,20.73,4.61,26.9,788,0,2,21,17,21,170.4,,0,38
559235,2017-2023,25-Jun,25-Jun,,27.43,5.19,31.6,3567,1,5,76,18,78,686.4,,0,130
481896,2013-2023,May-69,May-69,,25.95,5.6,27.7,4127,1,9,86,43,87,736,,0,159
625371,2016-2023,24-Apr,24-Apr,,38.52,5.59,41.3,2620,0,1,66,11,71,468.4,,0,68
236489,2019-2023,5-Jan,5-Jan,,17,6.8,15,17,0,0,2,0,15,2.3,,0,1
931581,2018-2022,,,,,,,,,,,,30,,,,
24598,2006-2022,,,,,,,,,,,,248,,,,
464626,2018-2022,23-Feb,23-Feb,,58.2,5.66,61.6,291,0,0,7,2,7,51.2,,0,5
653695,2020-2021,28-Feb,28-Feb,,40.6,5.85,41.6,203,0,0,5,0,5,34.4,,0,5
1027781,,,,,,8.25,,33,0,0,1,0,1,4,,0,0
244497,2009-2023,27-May,27-May,,33.03,5.66,34.9,5781,2,7,116,11,122,1019.5,,0,175
298438,2015-2023,,,,,,,,,,,,113,,,,
303669,2013-2022,Mar-52,Mar-52,,57.5,5.77,59.7,1495,0,0,69,2,158,258.5,,0,26
669365,2021-2022,,,,,,,,,,,,11,,,,
457279,2018-2023,Apr-85,Apr-85,,39.62,5.98,39.7,317,0,1,7,2,8,53,,0,8
311158,2011-2022,May-61,May-61,,42.39,6.05,42,3137,1,1,88,8,105,518.2,,0,74
461632,2015-2023,24-Jun,24-Jun,,27.03,5.29,30.6,892,1,1,22,14,22,168.2,,0,33
308251,2015-2023,30-May,30-May,,31.21,5.58,33.5,2622,1,4,63,27,64,469.3,,0,84
296597,2015-2022,18-Jan,18-Jan,,38,5.42,42,38,0,0,2,0,22,7,,0,1
247235,2011-2023,Jun-45,Jun-45,,30.26,5.49,33,4782,3,10,106,50,110,870.1,,0,158
573170,,,,,,5.9,,59,0,0,1,0,1,10,,0,0
351588,2015-2021,Apr-33,Apr-33,,38.28,5.46,42,2642,0,2,56,17,57,483.5,,0,69
784367,2021-2023,3-Jan,3-Jan,,82,5.85,84,82,0,0,6,0,22,14,,0,1
958691,2021-2023,,,,,8,,8,0,0,1,0,6,1,,0,0
552152,2015-2022,16-May,16-May,,35.84,5.41,39.7,1577,1,0,41,12,42,291.1,,0,44
300628,2010-2022,,,,,,,,,,,,157,,,,
465793,2016-2023,Mar-32,Mar-32,,38.13,5.06,45.1,1411,0,0,55,1,65,278.2,,0,37
429754,2014-2022,,,,,,,,,,,,55,,,,
784379,2017-2023,Apr-58,Apr-58,,38.61,5.06,45.7,1506,0,1,36,10,37,297.1,,0,39
786925,2017-2022,Jan-64,Jan-64,,202,6.73,180,202,0,0,4,1,5,30,,0,1
629080,2021-2021,Jan-33,Jan-33,,68,5.36,76,136,0,0,3,0,4,25.2,,0,2
366725,2019-2021,,,,,8,,16,0,0,1,0,8,2,,0,0
465783,2017-2019,Jan-35,Jan-35,,67.4,6.8,59.4,337,0,0,8,4,8,49.3,,0,5
784369,2016-2023,,,,,,,,,,,,29,,,,
422871,2018-2018,,,,,5.93,,95,0,0,2,0,2,16,,0,0
345821,2015-2022,Mar-48,Mar-48,,46.37,5.53,50.2,371,0,0,22,1,47,67,,0,8
1028665,2021-2021,Mar-59,Mar-59,,35.4,5.36,39.6,177,0,0,5,0,5,33,,0,5
623695,2021-2023,Mar-47,Mar-47,,31.15,5.82,32.1,623,0,0,19,3,21,107,,0,20
