id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
447261,28.75,7-Jun,53,24.24,2,1,0,31,,53,0,29,2018-2022
1060380,,,16.87,,5,,0,57,,135,0,,2021-2022
28235,,,27.92,,19,,0,92,,1759,0,,2011-2021
720471,,,25.11,,12,,0,89,,653,2,,2021-2023
642519,,-,30.67,,14,0,0,74*,,1043,0,0,2017-2022
497121,18,10-Apr,30.66,12.66,12,0,1,104,,368,0,6,2022-2023
234675,-4.43,15-Mar,24.05,28.49,24,0,0,46*,,457,0,51,2009-2022
30045,,-,26.38,,30,0,0,55,,686,8,0,2006-2022
851403,18.25,23-Feb,33.25,15,4,0,0,35*,,133,0,5,2021-2022
559235,7.02,24-May,21.5,14.47,8,1,0,23*,,43,0,46,2017-2023
253802,1.73,13-Jan,52.73,51,50,0,1,122*,,4008,0,4,2010-2022
326016,-14.72,4-May,8.37,23.1,15,2,0,16,,67,0,90,2012-2022
481896,-29.62,15-Mar,0,29.62,1,0,0,0*,,0,0,24,2014-2022
940973,-21.72,17-Apr,5,26.72,2,0,0,5,,5,0,11,2017-2022
931581,,,22.43,,27,,0,65*,,987,9,,2017-2022
236489,11.84,27-Jan,38.84,27,22,0,1,103*,,1748,0,1,2017-2022
24598,,,28.58,,46,,0,91,,2458,0,,2009-2022
653695,-27.03,Apr-47,1.25,28.28,1,0,0,5,,5,0,7,2019-2022
625371,-1.01,16-Apr,25.42,26.43,44,0,0,71*,,1271,0,69,2016-2023
244497,-19.06,2-Apr,6.5,25.56,26,0,0,22,,91,0,93,2009-2022
298438,,,24.15,,19,,0,78,,1522,0,,2014-2022
303669,12.55,9-Feb,35.72,23.16,18,0,0,90*,,893,0,6,2012-2019
669365,,,22.27,,8,,0,88*,,245,1,,2022-2022
311158,-11.25,26-Mar,21.66,32.92,22,0,0,52*,,585,0,26,2011-2022
457279,,-,0,,0,0,0,0,,0,0,0,2022-2022
461632,-23,22-Mar,6.5,29.5,5,0,0,9,,13,0,22,2015-2022
296597,,,27.23,,7,,0,59,,463,0,,2015-2022
308251,-8.07,7-Apr,15.06,23.13,17,0,0,33*,,226,0,51,2015-2022
247235,0.01,4-Mar,25.2,25.18,8,0,0,37,,126,0,27,2011-2022
573170,,24-Mar,,24.33,0,0,,,,,0,3,2022-2022
351588,,9-Mar,,18.34,3,0,0,5*,,11,0,44,2015-2022
784367,,-,24.3,,5,0,0,80*,,729,0,0,2021-2023
958691,,-,28,,2,0,0,44*,,84,0,0,2021-2022
300628,,,19.66,,37,,0,66*,,1062,6,,2010-2022
552152,-22.64,17-Apr,6.33,28.98,10,0,0,24*,,95,0,52,2015-2022
465793,-1.09,22-Feb,20.59,21.69,15,0,0,66*,,659,0,13,2015-2023
784379,-1.51,9-Apr,13.59,15.11,20,0,0,71,,503,0,89,2019-2023
429754,,,18.46,,12,,0,68,,480,1,,2016-2021
786925,,Jan-34,,56.5,1,0,0,10*,,10,0,2,2022-2022
629080,3,12-Feb,30,27,2,0,0,20,,30,0,12,2015-2022
366725,,,25.6,,0,,0,78*,,128,0,,2019-2021
465783,,-,2,,0,0,0,2,,2,0,0,2017-2017
784369,,,11.62,,7,,0,37,,337,0,,2019-2023
345821,-9.36,3-Feb,16.46,25.83,21,0,0,57,,741,0,6,2016-2022
1028665,,29-Jan,,59,0,0,0,0*,,0,0,2,2021-2022
623695,-22.04,22-Feb,16.16,38.2,13,0,0,31,,291,0,24,2021-2023
784375,-20.56,7-Mar,3.33,23.9,2,0,0,4,,10,0,30,2019-2022
49619,-38.91,26-Feb,2.33,41.25,3,0,0,5*,,7,0,8,2011-2019
793007,-25.36,24-Mar,1,26.36,3,0,0,1*,,2,0,11,2022-2023
629074,,,23.24,,18,,0,79,,1162,3,,2016-2023
49764,-6.06,16-Mar,25.51,31.57,24,0,0,81*,,1148,0,38,2009-2021
784373,,-,15.2,,1,0,0,41,,76,0,0,2018-2021
629084,-20,13-Jan,2,22,0,0,0,2,,2,0,1,2021-2021
1028655,,,28.75,,9,,0,75,,1064,0,,2021-2023
372116,,,22.67,,13,,0,72,,635,0,,2019-2022
486672,,,13,,2,,0,19,,26,0,,2017-2017
379143,,,32.17,,71,,0,79*,,2156,16,,2012-2022
553249,-9.28,16-Mar,10,19.28,4,0,0,17*,,40,0,14,2019-2021
269280,,-,29.82,,20,0,0,74,,1372,0,0,2014-2022
696401,-26,Jan-38,12,38,0,0,0,12,,12,0,1,2022-2022
436757,,-,24.53,,24,0,0,81,,687,3,0,2018-2022
379776,-30,Feb-33,16,46,1,0,0,9*,,16,0,3,2021-2021
605680,,,21.9,,3,,0,55,,241,0,,2019-2021
600498,14.07,21-Mar,38.21,24.14,23,0,0,70,,879,0,7,2019-2022
321777,,,34.62,,76,,2,106*,,2147,1,,2010-2022
698189,7.5,10-Feb,25.5,18,4,0,0,36,,51,0,5,2021-2021
542023,-15.09,May-39,3.2,18.29,8,1,0,4*,,16,0,58,2017-2022
481979,-17.01,10-Apr,2.66,19.68,7,0,0,4*,,16,0,35,2019-2022
267724,-13.7,21-Feb,13.8,27.5,12,0,0,41,,69,0,22,2021-2022
265564,-3.59,30-May,21,24.59,7,1,0,29*,,168,0,57,2009-2022
540316,-11.64,24-Apr,9.93,21.57,7,0,0,27*,,149,0,45,2017-2022
327830,1.86,17-May,21.75,19.88,6,1,0,77*,,261,0,35,2017-2022
550215,-8.35,20-Mar,21,29.35,18,0,0,22,,147,0,56,2014-2022
364343,-18.92,13-Apr,5.9,24.83,10,0,0,22,,65,0,55,2015-2022
554691,-2.95,9-Mar,22.15,25.1,12,0,0,65,,288,0,37,2015-2023
422108,,,37.75,,23,,2,110*,,2265,1,,2016-2022
