id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
854909,-34.3,Apr-50,4,38.3,4,0,0,2,,4,0,13,2022-2023
547749,,,40,,3,,2,120,,240,0,,2021-2022
277906,12.43,22-Apr,47.83,35.4,64,0,13,148,,6554,0,37,2010-2023
348056,-26.12,Feb-48,30.37,56.5,6,0,2,120,,486,0,6,2021-2022
906783,,Feb-38,,27.25,0,0,0,0*,,0,0,4,2018-2018
670045,-11.75,23-Apr,5,16.75,1,0,0,7,,15,0,8,2022-2022
274921,-27.54,Mar-40,6.33,33.87,1,0,0,10,,19,0,8,2012-2017
677081,-16.91,Mar-44,22.16,39.08,11,0,0,46,,266,0,25,2018-2022
914467,-29.75,Feb-50,22,51.75,2,0,0,21*,,22,0,4,2021-2022
820351,-68.66,7-Jan,23,91.66,14,0,1,101,,897,0,3,2016-2022
450101,-17.6,23-Feb,9,26.6,0,0,0,27,,36,0,5,2019-2021
230559,-13.27,27-Mar,26.01,39.29,64,0,3,119,,2706,0,55,2007-2022
604302,7.16,Apr-48,36.16,29,21,0,1,118,,1555,2,6,2019-2022
230553,-18.24,27-Jun,12.83,31.08,22,3,0,34,,308,0,125,2008-2022
1199304,-64.25,Jan-39,16,80.25,1,0,0,16*,,16,0,4,2022-2022
677077,-36.88,Mar-50,17.75,54.63,5,0,0,50,,213,0,11,2019-2022
1206110,,Apr-41,,24.6,2,0,0,3*,,3,0,5,2022-2022
248920,8.5,11-Feb,14,5.5,23,0,0,37,,238,6,2,2009-2013
443263,-14.59,May-39,17.22,31.82,4,1,0,46*,,155,0,28,2019-2022
774223,-10.77,26-Apr,18.6,29.37,5,0,0,29,,93,0,27,2018-2022
820691,15.66,26-Feb,36,20.33,1,0,0,46,,144,0,6,2022-2022
272262,-16.79,May-68,15,31.79,7,1,0,24*,,75,0,39,2013-2020
325012,-15.71,16-Mar,28.8,44.51,14,0,1,146*,,1296,0,37,2015-2022
267192,10.43,16-Mar,45.11,34.67,78,0,12,164,,4917,0,28,2010-2022
311592,-9.79,28-Jun,12.34,22.13,37,8,0,52*,,469,0,211,2010-2022
590326,-51.66,Feb-53,2,53.66,0,0,0,2,,2,0,3,2022-2022
230193,,,26.29,,108,,1,100*,,1867,9,,2012-2021
219889,,-,45.16,,61,0,19,179,,6007,0,0,2009-2022
379504,-19.3,May-35,9.36,28.66,16,1,0,36,,206,0,127,2016-2022
826689,2,13-Jan,15,13,0,0,0,15,,15,0,1,2022-2022
342619,,,17.8,,0,,0,65,,89,0,,2021-2021
499594,-10.52,31-Mar,24,34.52,1,0,0,17*,,48,0,23,2018-2023
437316,-11.52,May-43,26.67,38.2,9,1,2,108*,,1067,0,15,2016-2023
1138316,-22.26,Apr-37,15.5,37.76,4,0,0,11*,,31,0,13,2021-2022
