id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
559235,2017-2023,28,5,3,43,23*,21.5,49,87.75,0,0,1,2,0
326016,2012-2022,87,21,13,67,16,8.37,94,71.27,0,0,2,0,0
940973,2017-2022,8,1,0,5,5,5,7,71.42,0,0,0,1,0
481896,2014-2022,23,3,2,0,0*,0,2,0,0,0,1,0,0
625371,2016-2023,87,67,17,1271,71*,25.42,894,142.17,0,3,3,92,65
931581,2017-2022,66,56,12,987,65*,22.43,781,126.37,0,3,3,86,37
784367,2021-2023,34,34,4,729,80*,24.3,604,120.69,0,3,4,59,26
552152,2015-2022,52,27,12,95,24*,6.33,111,85.58,0,0,3,8,1
958691,2021-2022,5,4,1,84,44*,28,79,106.32,0,0,0,4,3
300628,2010-2022,68,61,7,1062,66*,19.66,1025,103.6,0,6,0,90,22
465793,2015-2023,36,35,3,659,66*,20.59,576,114.4,0,3,2,56,11
784379,2019-2023,55,46,9,503,71,13.59,413,121.79,0,1,4,54,5
429754,2016-2021,28,27,1,480,68,18.46,366,131.14,0,1,2,61,9
786925,2022-2022,3,1,1,10,10*,,3,333.33,0,0,0,2,0
629080,2015-2022,12,3,2,30,20,30,28,107.14,0,0,0,2,1
366725,2019-2021,7,6,1,128,78*,25.6,114,112.28,0,1,0,11,4
465783,2017-2017,1,1,0,2,2,2,2,100,0,0,0,0,0
784369,2019-2023,33,31,2,337,37,11.62,358,94.13,0,0,4,26,7
345821,2016-2022,46,45,0,741,57,16.46,615,120.48,0,3,4,78,21
1028665,2021-2022,5,1,1,0,0*,,5,0,0,0,0,0,0
623695,2021-2023,41,34,16,291,31,16.16,274,106.2,0,0,6,15,12
784375,2019-2022,25,6,3,10,4,3.33,11,90.9,0,0,1,2,0
49619,2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
629084,2021-2021,2,1,0,2,2,2,5,40,0,0,0,0,0
629074,2016-2023,52,52,2,1162,79,23.24,888,130.85,0,11,5,90,52
784373,2018-2021,5,5,0,76,41,15.2,62,122.58,0,0,1,6,3
49764,2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38
793007,,9,3,1,2,1*,1,4,50,0,0,1,0,0
1028655,2021-2023,39,38,1,1064,75,28.75,944,112.71,0,9,3,96,24
8917,2014-2022,71,61,15,1044,72*,22.69,716,145.81,0,7,9,82,55
669855,2019-2021,12,2,1,19,18*,19,10,190,0,0,0,2,1
297433,2011-2022,66,60,12,1337,90,27.85,980,136.42,0,8,5,120,57
